Unnamed: 0,Time,Sex,AgeStart,Value
2,1985,Both sexes,0,351.146
5,1985,Both sexes,1,341.074
8,1985,Both sexes,2,331.437
11,1985,Both sexes,3,320.279
14,1985,Both sexes,4,301.7925
17,1985,Both sexes,5,283.864
20,1985,Both sexes,6,278.68
23,1985,Both sexes,7,274.665
26,1985,Both sexes,8,267.7665
29,1985,Both sexes,9,259.1185
32,1985,Both sexes,10,247.811
35,1985,Both sexes,11,238.007
38,1985,Both sexes,12,232.427
41,1985,Both sexes,13,226.261
44,1985,Both sexes,14,218.8595
47,1985,Both sexes,15,210.9265
50,1985,Both sexes,16,202.9065
53,1985,Both sexes,17,194.952
56,1985,Both sexes,18,186.657
59,1985,Both sexes,19,177.7015
62,1985,Both sexes,20,168.316
65,1985,Both sexes,21,159.549
68,1985,Both sexes,22,152.147
71,1985,Both sexes,23,145.64
74,1985,Both sexes,24,139.7865
77,1985,Both sexes,25,134.5885
80,1985,Both sexes,26,130.065
83,1985,Both sexes,27,126.079
86,1985,Both sexes,28,122.2665
89,1985,Both sexes,29,118.458
92,1985,Both sexes,30,114.8225
95,1985,Both sexes,31,111.2565
98,1985,Both sexes,32,107.4725
1,1985,Both sexes,33,103.5145
4,1985,Both sexes,34,99.315
7,1985,Both sexes,35,94.176
10,1985,Both sexes,36,78.8755
13,1985,Both sexes,37,66.51
16,1985,Both sexes,38,65.7095
19,1985,Both sexes,39,63.796
22,1985,Both sexes,40,61.286
25,1985,Both sexes,41,58.528
28,1985,Both sexes,42,55.5685
31,1985,Both sexes,43,52.629
34,1985,Both sexes,44,50.043
37,1985,Both sexes,45,47.6355
40,1985,Both sexes,46,45.081
43,1985,Both sexes,47,42.8295
46,1985,Both sexes,48,41.404
49,1985,Both sexes,49,40.3725
52,1985,Both sexes,50,39.215
55,1985,Both sexes,51,37.954
58,1985,Both sexes,52,36.7665
61,1985,Both sexes,53,35.669
64,1985,Both sexes,54,34.712
67,1985,Both sexes,55,33.8405
70,1985,Both sexes,56,33.0485
73,1985,Both sexes,57,31.987
76,1985,Both sexes,58,30.5035
79,1985,Both sexes,59,28.8845
82,1985,Both sexes,60,27.3375
85,1985,Both sexes,61,25.725
88,1985,Both sexes,62,24.5025
91,1985,Both sexes,63,24.126
94,1985,Both sexes,64,24.082
97,1985,Both sexes,65,23.809
0,1985,Both sexes,66,22.856
3,1985,Both sexes,67,21.5815
6,1985,Both sexes,68,20.2775
9,1985,Both sexes,69,18.9125
12,1985,Both sexes,70,20.667
15,1985,Both sexes,71,21.6155
18,1985,Both sexes,72,18.025
21,1985,Both sexes,73,14.815
24,1985,Both sexes,74,12.945
27,1985,Both sexes,75,11.483
30,1985,Both sexes,76,10.149
33,1985,Both sexes,77,8.995
36,1985,Both sexes,78,7.8775
39,1985,Both sexes,79,6.8115
42,1985,Both sexes,80,5.825
45,1985,Both sexes,81,5.0195
48,1985,Both sexes,82,4.345
51,1985,Both sexes,83,3.6965
54,1985,Both sexes,84,3.0965
57,1985,Both sexes,85,2.562
60,1985,Both sexes,86,2.0925
63,1985,Both sexes,87,1.684
66,1985,Both sexes,88,1.337
69,1985,Both sexes,89,1.0465
72,1985,Both sexes,90,0.8045
75,1985,Both sexes,91,0.6075
78,1985,Both sexes,92,0.4505
81,1985,Both sexes,93,0.327
84,1985,Both sexes,94,0.2315
87,1985,Both sexes,95,0.161
90,1985,Both sexes,96,0.1095
93,1985,Both sexes,97,0.0725
96,1985,Both sexes,98,0.047
99,1985,Both sexes,99,0.03
2,1985,Both sexes,100,0.042
