time,n_alive,hiv.prevalence_15_49,hiv.n_infected,hiv.new_infections,hiv.new_deaths,hiv.n_on_art,n_alive,syph.new_infections,syph.n_infected,syph.active_prevalence
1990,10113893,0.199,1100000,280000,40000,0,10113893,,,
1991,10377815,0.234,1300000,290000,53000,0,10377815,,,
1992,10641501,0.261,1500000,270000,66000,0,10641501,,,
1993,10794918,0.28,1600000,250000,80000,0,10794918,,,
1994,10858594,0.292,1700000,230000,93000,0,10858594,,,
1995,10994041,0.296,1800000,200000,110000,0,10994041,,,0.022
1996,11178171,0.295,1900000,180000,120000,0,11178171,,,
1997,11362401,0.29,1900000,160000,130000,0,11362401,,,
1998,11548364,0.281,1900000,150000,130000,0,11548364,,,
1999,11716454,0.27,1900000,140000,140000,0,11716454,,,
2000,11834676,0.258,1800000,130000,150000,0,11834676,60634.91975,197038.1931,0.021
2001,11910978,0.245,1800000,120000,150000,10,11910978,60754.70547,197157.0402,
2002,11984644,0.232,1700000,110000,150000,50,11984644,60930.91265,197976.215,
2003,12075828,0.219,1600000,110000,150000,136,12075828,61237.80813,199598.3007,
2004,12160881,0.206,1600000,100000,150000,11599,12160881,61438.94036,201077.6243,
2005,12224753,0.195,1500000,96000,140000,27278,12224753,61491.55342,202058.8139,0.02
2006,12330490,0.186,1500000,93000,120000,58840,12330490,62039.42536,203986.2839,
2007,12450568,0.178,1400000,88000,110000,97748,12450568,62841.75551,205996.1727,
2008,12550347,0.171,1400000,83000,100000,146025,12550347,63423.52386,207062.1954,
2009,12679810,0.166,1400000,81000,90000,216508,12679810,63998.17554,208322.475,
2010,12839771,0.163,1400000,76000,75000,364000,12839771,64411.45975,209977.2621,0.019
2011,13025785,0.16,1400000,63000,58000,490000,13025785,64540.68536,211482.9858,
2012,13265331,0.156,1400000,56000,46000,574000,13265331,64759.26047,213225.5023,
2013,13555422,0.153,1400000,52000,39000,672000,13555422,65290.60465,215801.4259,
2014,13855753,0.149,1400000,45000,34000,770000,13855753,66044.96336,218919.9653,
2015,14154937,0.145,1400000,42000,33000,854000,14154937,67162.1649,223020.3189,0.018
2016,14452704,0.141,1400000,39000,30000,938000,14452704,68875.45025,228291.8327,
2017,14751101,0.136,1400000,31000,28000,1064000,14751101,71101.19819,234414.193,
2018,15052184,0.131,1400000,24000,25000,1106000,15052184,73576.56575,241221.7194,
2019,15354608,0.125,1400000,21000,23000,1190000,15354608,76009.34096,248446.0737,
2020,15669666,0.12,1300000,18000,22000,1144000,15669666,79306.66574,260463.3493,0.017
2021,15993524,0.115,1300000,21000,20000,1157000,15993524,85531.62564,286985.8211,
2022,16320537,0.109,1300000,17000,20000,1209000,16320537,83322.61347,289859.3997,
2023,,0.103,1300000,15000,18000,1222000,16340821.5,84076.66991,292517.4257,
2024,,0.098,1300000,15000,17000,1235000,16634372.5,84752.19212,295407.0693,
2025,,,,,,,16950795,85594.10903,298616.3617,
2026,,,,,,,17273580,86587.53757,302288.6882,
2027,,,,,,,17600613,87396.99017,305406.2767,
2028,,,,,,,17932008.5,87856.78885,307792.173,
2029,,,,,,,18268955,88981.60905,312191.3734,
2030,,,,,,,18610348.5,89907.99878,316012.2068,
2031,,,,,,,18956198,90407.90775,318359.9018,
2032,,,,,,,19311355.5,90864.88125,320904.7018,
2033,,,,,,,19675921.5,91164.22763,322798.4208,
2034,,,,,,,20041123,91385.21039,324461.7274,
2035,,,,,,,20409146.5,91883.06682,327299.7317,
2036,,,,,,,20778653,91763.03861,328081.4688,
2037,,,,,,,21144735.5,91896.75898,329383.0054,
2038,,,,,,,21512908,91615.55004,329702.324,
2039,,,,,,,21881117.5,91597.90367,330735.2573,
2040,,,,,,,22250109.5,91442.72745,331381.8824,
