,Time,Sex,AgeStart,Value
0,1985,Both sexes,15,43.795
1,1985,Both sexes,16,75.722
2,1985,Both sexes,17,114.672
3,1985,Both sexes,18,158.242
4,1985,Both sexes,19,198.638
5,1985,Both sexes,20,233.048
6,1985,Both sexes,21,255.283
7,1985,Both sexes,22,265.399
8,1985,Both sexes,23,268.383
9,1985,Both sexes,24,266.232
10,1985,Both sexes,25,262.52799999999996
11,1985,Both sexes,26,258.68
12,1985,Both sexes,27,255.02399999999997
13,1985,Both sexes,28,251.67299999999997
14,1985,Both sexes,29,248.589
15,1985,Both sexes,30,245.85299999999998
16,1985,Both sexes,31,241.322
17,1985,Both sexes,32,234.887
18,1985,Both sexes,33,225.648
19,1985,Both sexes,34,213.93
20,1985,Both sexes,35,201.259
21,1985,Both sexes,36,189.54
22,1985,Both sexes,37,176.763
23,1985,Both sexes,38,162.919
24,1985,Both sexes,39,149.136
25,1985,Both sexes,40,136.28199999999998
26,1985,Both sexes,41,118.999
27,1985,Both sexes,42,98.839
28,1985,Both sexes,43,79.39999999999999
29,1985,Both sexes,44,61.716
30,1985,Both sexes,45,45.949
31,1985,Both sexes,46,34.069
32,1985,Both sexes,47,24.989
33,1985,Both sexes,48,18.227
34,1985,Both sexes,49,11.709000000000001
0,1995,Both sexes,15,33.654
1,1995,Both sexes,16,63.61
2,1995,Both sexes,17,99.216
3,1995,Both sexes,18,137.109
4,1995,Both sexes,19,167.196
5,1995,Both sexes,20,187.249
6,1995,Both sexes,21,198.299
7,1995,Both sexes,22,201.435
8,1995,Both sexes,23,201.093
9,1995,Both sexes,24,198.59099999999998
10,1995,Both sexes,25,195.275
11,1995,Both sexes,26,191.537
12,1995,Both sexes,27,187.568
13,1995,Both sexes,28,183.342
14,1995,Both sexes,29,178.538
15,1995,Both sexes,30,173.174
16,1995,Both sexes,31,166.97
17,1995,Both sexes,32,159.94400000000002
18,1995,Both sexes,33,151.774
19,1995,Both sexes,34,142.569
20,1995,Both sexes,35,132.883
21,1995,Both sexes,36,123.32
22,1995,Both sexes,37,113.251
23,1995,Both sexes,38,102.664
24,1995,Both sexes,39,91.86500000000001
25,1995,Both sexes,40,81.14
26,1995,Both sexes,41,68.89399999999999
27,1995,Both sexes,42,55.80800000000001
28,1995,Both sexes,43,43.687999999999995
29,1995,Both sexes,44,33.058
30,1995,Both sexes,45,24.142
31,1995,Both sexes,46,17.58
32,1995,Both sexes,47,12.659
33,1995,Both sexes,48,9.05
34,1995,Both sexes,49,5.6610000000000005
0,2005,Both sexes,15,34.492000000000004
1,2005,Both sexes,16,67.884
2,2005,Both sexes,17,106.32900000000001
3,2005,Both sexes,18,145.46
4,2005,Both sexes,19,173.19
5,2005,Both sexes,20,187.394
6,2005,Both sexes,21,192.462
7,2005,Both sexes,22,190.257
8,2005,Both sexes,23,186.149
9,2005,Both sexes,24,181.507
10,2005,Both sexes,25,177.01500000000001
11,2005,Both sexes,26,172.686
12,2005,Both sexes,27,168.24
13,2005,Both sexes,28,163.48
14,2005,Both sexes,29,157.84599999999998
15,2005,Both sexes,30,151.368
16,2005,Both sexes,31,144.153
17,2005,Both sexes,32,136.293
18,2005,Both sexes,33,127.48100000000001
19,2005,Both sexes,34,117.858
20,2005,Both sexes,35,108.096
21,2005,Both sexes,36,98.84700000000001
22,2005,Both sexes,37,89.552
23,2005,Both sexes,38,80.15799999999999
24,2005,Both sexes,39,70.726
25,2005,Both sexes,40,61.580000000000005
26,2005,Both sexes,41,51.411
27,2005,Both sexes,42,40.876000000000005
28,2005,Both sexes,43,31.232
29,2005,Both sexes,44,22.872
30,2005,Both sexes,45,15.793999999999999
31,2005,Both sexes,46,11.09
32,2005,Both sexes,47,7.632
33,2005,Both sexes,48,5.169
34,2005,Both sexes,49,3.043
0,2015,Both sexes,15,33.288
1,2015,Both sexes,16,68.476
2,2015,Both sexes,17,108.637
3,2015,Both sexes,18,148.934
4,2015,Both sexes,19,176.651
5,2015,Both sexes,20,190.02700000000002
6,2015,Both sexes,21,196.58999999999997
7,2015,Both sexes,22,198.20399999999998
8,2015,Both sexes,23,197.988
9,2015,Both sexes,24,196.552
10,2015,Both sexes,25,193.64999999999998
11,2015,Both sexes,26,189.025
12,2015,Both sexes,27,183.869
13,2015,Both sexes,28,178.22899999999998
14,2015,Both sexes,29,171.319
15,2015,Both sexes,30,162.88400000000001
16,2015,Both sexes,31,154.763
17,2015,Both sexes,32,146.951
18,2015,Both sexes,33,139.834
19,2015,Both sexes,34,133.05700000000002
20,2015,Both sexes,35,125.386
21,2015,Both sexes,36,115.077
22,2015,Both sexes,37,103.774
23,2015,Both sexes,38,91.553
24,2015,Both sexes,39,77.877
25,2015,Both sexes,40,62.003
26,2015,Both sexes,41,48.278
27,2015,Both sexes,42,35.954
28,2015,Both sexes,43,25.613
29,2015,Both sexes,44,17.427000000000003
30,2015,Both sexes,45,12.066
31,2015,Both sexes,46,8.179
32,2015,Both sexes,47,5.401000000000001
33,2015,Both sexes,48,3.404
34,2015,Both sexes,49,1.853
10,2025,Both sexes,15,29.267999999999997
24,2025,Both sexes,16,60.226
44,2025,Both sexes,17,96.496
61,2025,Both sexes,18,133.909
78,2025,Both sexes,19,160.799
95,2025,Both sexes,20,175.226
12,2025,Both sexes,21,182.32899999999998
29,2025,Both sexes,22,183.655
43,2025,Both sexes,23,182.76000000000002
63,2025,Both sexes,24,180.51
80,2025,Both sexes,25,177.278
97,2025,Both sexes,26,173.096
14,2025,Both sexes,27,168.94600000000003
31,2025,Both sexes,28,164.798
48,2025,Both sexes,29,159.644
65,2025,Both sexes,30,153.205
82,2025,Both sexes,31,146.506
