,Time,Sex,AgeStart,Value
0,1985,Male,0,0.06485725
1,1985,Female,0,0.05238367
3,1985,Male,1,0.01424589
4,1985,Female,1,0.01271605
6,1985,Male,2,0.00883608
7,1985,Female,2,0.0076707
9,1985,Male,3,0.00601498
10,1985,Female,3,0.00519348
12,1985,Male,4,0.00421284
13,1985,Female,4,0.00362629
15,1985,Male,5,0.00314682
16,1985,Female,5,0.00271155
18,1985,Male,6,0.00259983
19,1985,Female,6,0.00219622
21,1985,Male,7,0.00221573
22,1985,Female,7,0.00183173
24,1985,Male,8,0.00194235
25,1985,Female,8,0.00158265
27,1985,Male,9,0.00176
28,1985,Female,9,0.00142126
30,1985,Male,10,0.00164962
31,1985,Female,10,0.00133472
33,1985,Male,11,0.00159491
34,1985,Female,11,0.00129676
36,1985,Male,12,0.00161263
37,1985,Female,12,0.00130241
39,1985,Male,13,0.00168354
40,1985,Female,13,0.00133893
42,1985,Male,14,0.00181755
43,1985,Female,14,0.00141658
45,1985,Male,15,0.00199892
46,1985,Female,15,0.00151834
48,1985,Male,16,0.00224204
49,1985,Female,16,0.00165209
51,1985,Male,17,0.00253202
52,1985,Female,17,0.00176376
54,1985,Male,18,0.00282846
55,1985,Female,18,0.00189024
57,1985,Male,19,0.00311863
58,1985,Female,19,0.00199991
60,1985,Male,20,0.00341103
61,1985,Female,20,0.0021105
63,1985,Male,21,0.00367543
64,1985,Female,21,0.0022201
66,1985,Male,22,0.00390977
67,1985,Female,22,0.00232475
69,1985,Male,23,0.00409856
70,1985,Female,23,0.002424
72,1985,Male,24,0.00426332
73,1985,Female,24,0.00252526
75,1985,Male,25,0.00441287
76,1985,Female,25,0.0026243
78,1985,Male,26,0.00455644
79,1985,Female,26,0.00271906
81,1985,Male,27,0.00471888
82,1985,Female,27,0.00281224
84,1985,Male,28,0.00489842
85,1985,Female,28,0.00292387
87,1985,Male,29,0.00508248
88,1985,Female,29,0.00300525
90,1985,Male,30,0.00533842
91,1985,Female,30,0.00314589
93,1985,Male,31,0.00551666
94,1985,Female,31,0.00321643
96,1985,Male,32,0.00583041
97,1985,Female,32,0.00337653
99,1985,Male,33,0.0061104
0,1985,Female,33,0.00351197
2,1985,Male,34,0.00641557
3,1985,Female,34,0.00366171
5,1985,Male,35,0.00678078
6,1985,Female,35,0.003821
8,1985,Male,36,0.007113
9,1985,Female,36,0.00399225
11,1985,Male,37,0.00746303
12,1985,Female,37,0.00415248
14,1985,Male,38,0.0078543
15,1985,Female,38,0.00438175
17,1985,Male,39,0.00821085
18,1985,Female,39,0.00455494
20,1985,Male,40,0.0086994
21,1985,Female,40,0.00482298
23,1985,Male,41,0.00898321
24,1985,Female,41,0.00493261
26,1985,Male,42,0.00952214
27,1985,Female,42,0.00524574
29,1985,Male,43,0.00990852
30,1985,Female,43,0.00540844
32,1985,Male,44,0.01041043
33,1985,Female,44,0.00563609
35,1985,Male,45,0.01100859
36,1985,Female,45,0.00591693
38,1985,Male,46,0.01150593
39,1985,Female,46,0.00616499
41,1985,Male,47,0.01214959
42,1985,Female,47,0.00647071
44,1985,Male,48,0.01291864
45,1985,Female,48,0.00691296
47,1985,Male,49,0.0136757
48,1985,Female,49,0.00733307
50,1985,Male,50,0.01467409
51,1985,Female,50,0.00796764
53,1985,Male,51,0.01531138
54,1985,Female,51,0.0083143
56,1985,Male,52,0.01637396
57,1985,Female,52,0.00903563
59,1985,Male,53,0.01721445
60,1985,Female,53,0.00954408
62,1985,Male,54,0.01818183
63,1985,Female,54,0.01018846
65,1985,Male,55,0.01917627
66,1985,Female,55,0.0108169
68,1985,Male,56,0.02027154
69,1985,Female,56,0.01156922
71,1985,Male,57,0.021446
72,1985,Female,57,0.01232321
74,1985,Male,58,0.02299719
75,1985,Female,58,0.01342306
77,1985,Male,59,0.02460682
78,1985,Female,59,0.01450771
80,1985,Male,60,0.02686739
81,1985,Female,60,0.01621692
83,1985,Male,61,0.02848955
84,1985,Female,61,0.01723253
86,1985,Male,62,0.03105626
87,1985,Female,62,0.01919398
89,1985,Male,63,0.03341252
90,1985,Female,63,0.02093871
92,1985,Male,64,0.03598475
93,1985,Female,64,0.02291042
95,1985,Male,65,0.03883565
96,1985,Female,65,0.02516208
98,1985,Male,66,0.04147348
99,1985,Female,66,0.02720971
1,1985,Male,67,0.04471105
2,1985,Female,67,0.02979427
4,1985,Male,68,0.04837713
5,1985,Female,68,0.03289204
7,1985,Male,69,0.05218034
8,1985,Female,69,0.03591737
10,1985,Male,70,0.05746802
11,1985,Female,70,0.04067611
13,1985,Male,71,0.06134855
14,1985,Female,71,0.04353662
16,1985,Male,72,0.06761658
17,1985,Female,72,0.04895225
19,1985,Male,73,0.07325097
20,1985,Female,73,0.05357578
22,1985,Male,74,0.07961713
23,1985,Female,74,0.05895565
25,1985,Male,75,0.08658719
26,1985,Female,75,0.06493372
28,1985,Male,76,0.09362778
29,1985,Female,76,0.07067364
31,1985,Male,77,0.10120892
32,1985,Female,77,0.07685715
34,1985,Male,78,0.11046952
35,1985,Female,78,0.0849238
37,1985,Male,79,0.1190686
38,1985,Female,79,0.09191727
40,1985,Male,80,0.13020361
41,1985,Female,80,0.10160097
43,1985,Male,81,0.13899931
44,1985,Female,81,0.10804951
46,1985,Male,82,0.15288257
47,1985,Female,82,0.12065149
49,1985,Male,83,0.16554058
50,1985,Female,83,0.13166594
52,1985,Male,84,0.18029431
53,1985,Female,84,0.14476686
55,1985,Male,85,0.19358312
56,1985,Female,85,0.15708473
58,1985,Male,86,0.2085918
59,1985,Female,86,0.1703178
61,1985,Male,87,0.22353313
62,1985,Female,87,0.18346329
64,1985,Male,88,0.23997667
65,1985,Female,88,0.19843841
67,1985,Male,89,0.25573832
68,1985,Female,89,0.21240456
70,1985,Male,90,0.27562013
71,1985,Female,90,0.23277128
73,1985,Male,91,0.28977678
74,1985,Female,91,0.24424284
76,1985,Male,92,0.31121162
77,1985,Female,92,0.26533565
79,1985,Male,93,0.33102911
80,1985,Female,93,0.28409484
82,1985,Male,94,0.35237427
83,1985,Female,94,0.30490455
85,1985,Male,95,0.37601649
86,1985,Female,95,0.32770918
88,1985,Male,96,0.39715451
89,1985,Female,96,0.34865584
91,1985,Male,97,0.41752612
92,1985,Female,97,0.36918004
94,1985,Male,98,0.43702903
95,1985,Female,98,0.38911985
97,1985,Male,99,0.46271082
98,1985,Female,99,0.41503179
0,1985,Male,100,0.51536657
1,1985,Female,100,0.47267893
0,1995,Male,0,0.07124937
1,1995,Female,0,0.05891471
3,1995,Male,1,0.01592782
4,1995,Female,1,0.01529482
6,1995,Male,2,0.01056158
7,1995,Female,2,0.00949736
9,1995,Male,3,0.00715842
10,1995,Female,3,0.00622392
12,1995,Male,4,0.00507173
13,1995,Female,4,0.0042326
15,1995,Male,5,0.0036741
16,1995,Female,5,0.0030968
18,1995,Male,6,0.0030867
19,1995,Female,6,0.00255331
21,1995,Male,7,0.00269529
22,1995,Female,7,0.00224061
24,1995,Male,8,0.00238601
25,1995,Female,8,0.0020099
27,1995,Male,9,0.00216226
28,1995,Female,9,0.00188372
30,1995,Male,10,0.00206335
31,1995,Female,10,0.00181481
33,1995,Male,11,0.00206783
34,1995,Female,11,0.00178595
36,1995,Male,12,0.00212022
37,1995,Female,12,0.00185879
39,1995,Male,13,0.00223569
40,1995,Female,13,0.0020202
42,1995,Male,14,0.00245729
43,1995,Female,14,0.00225455
45,1995,Male,15,0.0027762
46,1995,Female,15,0.00258775
48,1995,Male,16,0.00310583
49,1995,Female,16,0.00290154
51,1995,Male,17,0.00361685
52,1995,Female,17,0.00331851
54,1995,Male,18,0.00412781
55,1995,Female,18,0.00378743
57,1995,Male,19,0.00462853
58,1995,Female,19,0.00426327
60,1995,Male,20,0.00522244
61,1995,Female,20,0.00480942
63,1995,Male,21,0.00583438
64,1995,Female,21,0.00526294
66,1995,Male,22,0.00648494
67,1995,Female,22,0.00589073
69,1995,Male,23,0.00711455
70,1995,Female,23,0.00651897
72,1995,Male,24,0.0077386
73,1995,Female,24,0.00716347
75,1995,Male,25,0.0084192
76,1995,Female,25,0.00785766
78,1995,Male,26,0.00903512
79,1995,Female,26,0.00856316
81,1995,Male,27,0.00976383
82,1995,Female,27,0.00924536
84,1995,Male,28,0.01047215
85,1995,Female,28,0.00982296
87,1995,Male,29,0.01117153
88,1995,Female,29,0.01045456
90,1995,Male,30,0.01204897
91,1995,Female,30,0.01099456
93,1995,Male,31,0.01271816
94,1995,Female,31,0.01145883
96,1995,Male,32,0.01359812
97,1995,Female,32,0.0120741
99,1995,Male,33,0.01447181
0,1995,Female,33,0.01261133
2,1995,Male,34,0.01543865
3,1995,Female,34,0.01321046
5,1995,Male,35,0.016453
6,1995,Female,35,0.01390103
8,1995,Male,36,0.01733905
9,1995,Female,36,0.01439514
11,1995,Male,37,0.01826987
12,1995,Female,37,0.01488924
14,1995,Male,38,0.01905608
15,1995,Female,38,0.01532233
17,1995,Male,39,0.01979205
18,1995,Female,39,0.0157004
20,1995,Male,40,0.02070542
21,1995,Female,40,0.01606858
23,1995,Male,41,0.02117102
24,1995,Female,41,0.01638246
26,1995,Male,42,0.02186646
27,1995,Female,42,0.01657246
29,1995,Male,43,0.02247641
30,1995,Female,43,0.01688673
32,1995,Male,44,0.0232063
33,1995,Female,44,0.01724994
35,1995,Male,45,0.02402758
36,1995,Female,45,0.01770417
38,1995,Male,46,0.02471381
39,1995,Female,46,0.01815004
41,1995,Male,47,0.02551699
42,1995,Female,47,0.01866679
44,1995,Male,48,0.02646529
45,1995,Female,48,0.01929987
47,1995,Male,49,0.02731245
48,1995,Female,49,0.01998454
50,1995,Male,50,0.02855451
51,1995,Female,50,0.02072609
53,1995,Male,51,0.02914344
54,1995,Female,51,0.02137294
56,1995,Male,52,0.0301257
57,1995,Female,52,0.02208223
59,1995,Male,53,0.03086365
60,1995,Female,53,0.02277881
62,1995,Male,54,0.03175132
63,1995,Female,54,0.02356695
65,1995,Male,55,0.03287324
66,1995,Female,55,0.02447474
68,1995,Male,56,0.03377693
69,1995,Female,56,0.02542792
71,1995,Male,57,0.03502012
72,1995,Female,57,0.02651355
74,1995,Male,58,0.03664386
75,1995,Female,58,0.02780044
77,1995,Male,59,0.03851117
78,1995,Female,59,0.02929796
80,1995,Male,60,0.04135339
81,1995,Female,60,0.03104596
83,1995,Male,61,0.04325631
84,1995,Female,61,0.03292158
86,1995,Male,62,0.0460536
87,1995,Female,62,0.03509791
89,1995,Male,63,0.04861111
90,1995,Female,63,0.03751784
92,1995,Male,64,0.05140885
93,1995,Female,64,0.0401981
95,1995,Male,65,0.05438698
96,1995,Female,65,0.04321305
98,1995,Male,66,0.05651604
99,1995,Female,66,0.04513775
1,1995,Male,67,0.05888879
2,1995,Female,67,0.04727193
4,1995,Male,68,0.06169899
5,1995,Female,68,0.04971417
7,1995,Male,69,0.06474399
8,1995,Female,69,0.05235956
10,1995,Male,70,0.06933742
11,1995,Female,70,0.05573338
13,1995,Male,71,0.07246121
14,1995,Female,71,0.0584195
16,1995,Male,72,0.07758761
17,1995,Female,72,0.06234197
19,1995,Male,73,0.0821709
20,1995,Female,73,0.06588419
22,1995,Male,74,0.08732419
23,1995,Female,74,0.06983654
25,1995,Male,75,0.0930801
26,1995,Female,75,0.074102
28,1995,Male,76,0.09878766
29,1995,Female,76,0.07807591
31,1995,Male,77,0.10512325
32,1995,Female,77,0.0822009
34,1995,Male,78,0.11298619
35,1995,Female,78,0.0876439
37,1995,Male,79,0.12026656
38,1995,Female,79,0.09195822
40,1995,Male,80,0.13009345
41,1995,Female,80,0.09849591
43,1995,Male,81,0.13898496
44,1995,Female,81,0.10495557
46,1995,Male,82,0.15253757
47,1995,Female,82,0.11732225
49,1995,Male,83,0.16503577
50,1995,Female,83,0.1282238
52,1995,Male,84,0.17947387
53,1995,Female,84,0.14115352
55,1995,Male,85,0.1927197
56,1995,Female,85,0.15337375
58,1995,Male,86,0.20754144
59,1995,Female,86,0.16663941
61,1995,Male,87,0.22237952
62,1995,Female,87,0.17970784
64,1995,Male,88,0.2386127
65,1995,Female,88,0.19457585
67,1995,Male,89,0.25433264
68,1995,Female,89,0.20860808
70,1995,Male,90,0.27396566
71,1995,Female,90,0.22873353
73,1995,Male,91,0.28838991
74,1995,Female,91,0.2404014
76,1995,Male,92,0.30962637
77,1995,Female,92,0.26142046
79,1995,Male,93,0.32944932
80,1995,Female,93,0.28025883
82,1995,Male,94,0.35063131
83,1995,Female,94,0.30111612
85,1995,Male,95,0.3737208
86,1995,Female,95,0.32395267
88,1995,Male,96,0.39469166
89,1995,Female,96,0.34500644
91,1995,Male,97,0.41485757
92,1995,Female,97,0.36562324
94,1995,Male,98,0.43412394
95,1995,Female,98,0.38563245
97,1995,Male,99,0.45985714
98,1995,Female,99,0.41183809
0,1995,Male,100,0.51268553
1,1995,Female,100,0.47023237
0,2005,Male,0,0.06824721
1,2005,Female,0,0.05694965
3,2005,Male,1,0.01456229
4,2005,Female,1,0.01431494
6,2005,Male,2,0.0099748
7,2005,Female,2,0.00899928
9,2005,Male,3,0.00675435
10,2005,Female,3,0.00587275
