time,n_alive,syph.new_infections,syph.n_active,syph.active_prevalence,syph.new_congenital_deaths,syph.new_congenital,coinfection_stats.syph_prev_has_hiv,coinfection_stats.syph_prev_no_hiv,syph.active_prevalence_f,syph.active_prevalence_m
1990,10113893.0,,,,900.0,2485.077812,,,,
1991,10377815.0,,,,898.4375,2409.337258,,,,
1992,10641501.0,,,,896.875,2320.520456,,,,
1993,10794918.0,,,,895.3125,2223.459245,,,,
1994,10858594.0,,,,893.75,2123.335838,,,,
1995,10994041.0,,,0.022,892.1875,2019.66205,,,,
1996,11178171.0,,,,890.625,1887.893008,,,,
1997,11362401.0,,,,889.0625,1728.691276,,,,
1998,11548364.0,,,,887.5,1571.352023,,,,
1999,11716454.0,,,,885.9375,1441.715492,,,,
2000,11834676.0,60634.91975,197038.1931,0.021,884.375,1366.590387,,,,
2001,11910978.0,60754.70547,197157.0402,,882.8125,1329.227396,,,,
2002,11984644.0,60930.91265,197976.215,,881.25,1294.883911,,,,
2003,12075828.0,61237.80813,199598.3007,,879.6875,1267.601294,,,,
2004,12160881.0,61438.94036,201077.6243,,878.125,1253.948869,,,,
2005,12224753.0,61491.55342,202058.8139,0.02,876.5625,1257.088847,,,,
2006,12330490.0,62039.42536,203986.2839,,875.0,1273.768703,,,,
2007,12450568.0,62841.75551,205996.1727,,873.4375,1296.730782,,,,
2008,12550347.0,63423.52386,207062.1954,,871.875,1321.710796,,,,
2009,12679810.0,63998.17554,208322.475,,870.3125,1345.80583,,,,
2010,12839771.0,64411.45975,209977.2621,0.019,868.75,1363.789855,,,,
2011,13025785.0,64540.68536,211482.9858,,867.1875,1367.532352,,,,
2012,13265331.0,64759.26047,213225.5023,,865.625,1355.631433,,,,
2013,13555422.0,65290.60465,215801.4259,,864.0625,1336.140877,,,,
2014,13855753.0,66044.96336,218919.9653,,862.5,1318.611046,,,,
2015,14154937.0,67162.1649,223020.3189,0.018,860.9375,1309.444497,,,,
2016,14452704.0,68875.45025,228291.8327,,859.375,1315.479747,0.029,0.004,0.01,0.006
2017,14751101.0,71101.19819,234414.193,,857.8125,1337.399088,,,,
2018,15052184.0,73576.56575,241221.7194,,856.25,1370.328995,,,,
2019,15354608.0,76009.34096,248446.0737,,854.6875,1411.930236,,,,
2020,15669666.0,79306.66574,260463.3493,0.017,853.125,1492.781334,,,,
2021,15993524.0,85531.62564,286985.8211,,850.0,1536.302311,,,,
2022,16320537.0,83322.61347,289859.3997,,835.4393996,,,,,
2023,16340821.5,84076.66991,292517.4257,,809.6851641,,,,,
2024,16634372.5,84752.19212,295407.0693,,783.3977659,,,,,
2025,16950795.0,85594.10903,298616.3617,,756.4583028,,,,,
2026,17273580.0,86587.53757,302288.6882,,735.230789,,,,,
2027,17600613.0,87396.99017,305406.2767,,712.8523537,,,,,
2028,17932008.5,87856.78885,307792.173,,691.4766849,,,,,
2029,18268955.0,88981.60905,312191.3734,,669.9507835,,,,,
2030,18610348.5,89907.99878,316012.2068,,652.5091814,,,,,
2031,18956198.0,90407.90775,318359.9018,,634.8434454,,,,,
2032,19311355.5,90864.88125,320904.7018,,617.5565439,,,,,
2033,19675921.5,91164.22763,322798.4208,,599.7560067,,,,,
2034,20041123.0,91385.21039,324461.7274,,582.2063407,,,,,
2035,20409146.5,91883.06682,327299.7317,,565.1800387,,,,,
2036,20778653.0,91763.03861,328081.4688,,545.4271717,,,,,
2037,21144735.5,91896.75898,329383.0054,,526.118614,,,,,
2038,21512908.0,91615.55004,329702.324,,507.0315737,,,,,
2039,21881117.5,91597.90367,330735.2573,,490.0604458,,,,,
2040,22250109.5,91442.72745,331381.8824,,472.5455294,,,,,
2041,,90918.69747,330505.6504,,453.5671333,,,,,
2042,,90086.13578,328579.1417,,437.0473344,,,,,
2043,,89855.82691,328481.4338,,421.6123024,,,,,
2044,,89214.44664,326995.3139,,404.6434739,,,,,
2045,,88518.20364,325178.8781,,390.2539803,,,,,
2046,,88076.15131,324274.3916,,375.1089137,,,,,
2047,,87644.13449,323456.8404,,360.1379608,,,,,
2048,,86718.79365,320891.1422,,345.7696289,,,,,
2049,,85943.70367,318587.9916,,331.1190531,,,,,
2050,,84923.42502,315390.1803,,318.8366629,,,,,
